"index","total_size","total_docs","doc_toDelete","sizesaving","sizesavingNonConvert","action_needed","action_took"
"pulsesecure-syslog-2021.04.29","677870","410","0","0",,,"DELETED_INDEX"
"winlogbeat-7.3.1-2021.02.27","49194831741","43179053","0","45.8162573548034","49194831741","DELETE_INDEX","DELETED_INDEX"
"winlogbeat-7.3.1-2021.02.26","49338367003","43259353","0","45.9499349845573","49338367003","DELETE_INDEX","DELETED_INDEX"
"winlogbeat-7.3.1-2021.02.28","48379533147","42336279","0","45.0569513691589","48379533147","DELETE_INDEX","DELETED_INDEX"
"winlogbeat-7.3.1-2021.02.23","49661818772","43340424","0","46.2511729188263","49661818772","DELETE_INDEX","DELETED_INDEX"
"metricbeat-7.9.0-2021.06.15-000024","416","0","0","0",,,"DELETED_INDEX"
"winlogbeat-7.3.1-2021.02.22","48260901242","42374626","0","44.9464667979628","48260901242","DELETE_INDEX","DELETED_INDEX"
"winlogbeat-7.3.1-2021.02.25","47818060552","42277580","0","44.5340392664075","47818060552","DELETE_INDEX","DELETED_INDEX"
"winlogbeat-7.3.1-2021.02.24","49499389676","43361897","0","46.0998990349472","49499389676","DELETE_INDEX","DELETED_INDEX"
"winlogbeat-7.3.1-2021.02.21","48070727618","42552935","0","44.7693538088351","48070727618","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.10.2-2021.03.30","2271388","478","0","0.0021153949201107","2271388","DELETE_INDEX","DELETED_INDEX"
"winlogbeat-7.3.1-2021.02.20","48606262334","43326462","0","45.2681093793362","48606262334","DELETE_INDEX","DELETED_INDEX"
"pulsesecure-syslog-2021.04.30","567614","236","0","0",,,"DELETED_INDEX"
"filebeat-7.10.2-2021.03.31","1449826","1269","0","0.00135025568306446","1449826","DELETE_INDEX","DELETED_INDEX"
"log_inconnu-2021.06.03","51928992960","40248136","0","0",,,"DELETED_INDEX"
"log_inconnu-2021.06.04","52291379959","40173583","0","0",,,"DELETED_INDEX"
".monitoring-alerts-7","5936702","34379","0","0",,,"DELETED_INDEX"
"log_inconnu-2021.06.01","52611703335","40959856","0","0",,,"DELETED_INDEX"
"log_inconnu-2021.06.02","55809305082","43957270","0","0",,,"DELETED_INDEX"
"shrink-cujk-abc_audit_log_prod-2021.06.22-000033","416","0","0","0",,,"DELETED_INDEX"
"filebeat-7.5.1-2021.02.20","8907331362","15782138","0","8.29559877701104","8907331362","DELETE_INDEX","DELETED_INDEX"
