"index","total_size","total_docs","doc_toDelete","sizesaving","sizesavingNonConvert","action_needed","action_took"
"logstash-telecom-coreswitch-syslog-2021.06.05","337562","189","0","0.00031437911093235","337562","DELETE_INDEX","NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.06","271760","183","0","0.000253096222877502","271760","DELETE_INDEX","NOTHING"
"logstash-telecom-snmptrap-cacti-ilm-2021.07.20-000034","31130274","101754","0","0",,,"NOTHING"
"shrink-tkns-winlogbeat-7.13.1-2021.08.18-000230","64960260811","42358847","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.07","190284","190","0","0.000177215784788132","190284","DELETE_INDEX","NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.08","304898","220","0","0.00028395839035511","304898","DELETE_INDEX","NOTHING"
"logstash-telecom-coreswitch-syslog-2021.06.09","297286","249","0","0.000276869162917137","297286","DELETE_INDEX","NOTHING"
"failed-app-write-ilm","6047078","5778","0","0.00563178025186062","6047078","DELETE_INDEX","NOTHING"
"shrink-metricbeat-linux-2021.04.15-000035","416","0","0","0",,,"NOTHING"
"shrink-zbqi-audit-write-000069","54582095752","36526923","0","0",,,"NOTHING"
"shrink-g0of-logstash-telecom-checkpoint-syslog-ilm-2021.07.27-000402","53594638178","40414893","0","0",,,"NOTHING"
"shrink-logstash-telecom-elfiq-syslog-ilm-2021.07.12-000033","416","0","0","0",,,"NOTHING"
"magento-aws-non_parse-ilm-2021.08.04-000039","416","0","0","0",,,"NOTHING"
"filebeat-linux-2021.08.27-000023","416","0","0","0",,,"NOTHING"
"shrink-vyvi-metricbeat-linux-2021.08.19-000053","416","0","0","0",,,"NOTHING"
"shrink-nztv-logstash-telecom-firepower-syslog-ilm-2021.08.10-000138","53141618964","81791981","0","0",,,"NOTHING"
"shrink-kt_x-winlogbeat-7.10.2-2021.08.26-000013","18078715944","15547349","0","0",,,"NOTHING"
"magento-aws-access_log-prod-ilm-2021.09.01-000043","28772567352","31858856","0","0",,,"NOTHING"
"shrink-3uzu-logstash-telecom-elfiq-syslog-ilm-2021.08.09-000037","416","0","0","0",,,"NOTHING"
"shrink-ozyv-winlogbeat-7.13.1-2021.08.10-000203","65420826893","39101803","0","0",,,"NOTHING"
".kibana_2","6602636","6998","0","0",,,"NOTHING"
".kibana_1","167296","51","0","0",,,"NOTHING"
".kibana_3","92403230","9032","0","0",,,"NOTHING"
"shrink-z_ot-winlogbeat-7.13.1-2021.09.02-000276","64529838256","41713196","0","0",,,"NOTHING"
"shrink-logstash-telecom-netscaler-syslog-ilm-2021.07.10-000099","54594255436","83520960","20297760","12.3566206243906","13267820367.7092","DELETE_DOCS","NOTHING"
"shrink-886j-winlogbeat-7.13.1-2021.08.21-000238","64753072349","43865426","0","0",,,"NOTHING"
"shrink-o0th-logstash-telecom-firepower-syslog-ilm-2021.08.03-000131","52980002495","82221723","0","0",,,"NOTHING"
"filebeat-7.13.4-2021.07.26-000001","86021818440","229194562","25804851","9.01998459289898","9685134709.23125","DELETE_DOCS","NOTHING"
"shrink-ifg8-winlogbeat-7.13.1-2021.09.06-000286","65015319006","43826311","0","0",,,"NOTHING"
"shrink-cbi6-winlogbeat-7.13.1-2021.08.22-000241","65333891768","44420068","0","0",,,"NOTHING"
"shrink-logstash-telecom-pulsesecure-syslog-ilm-2021.07.04-000041","1094618","1619","1499","0.000943881555600178","1013485.10315009","DELETE_DOCS","NOTHING"
".triggered_watches","36999374","20","0","0",,,"NOTHING"
"logstash-telecom-fwsm-syslog-ilm-2021.07.16-000033","416","0","0","0",,,"NOTHING"
"shrink-umdg-logstash-telecom-nontraite-ilm-2021.08.02-000010","63576544","142029","0","0",,,"NOTHING"
"shrink-logstash-telecom-checkpoint-syslog-ilm-2021.07.13-000380","53563331694","41765766","0","0",,,"NOTHING"
"shrink-logstash-telecom-checkpoint-syslog-ilm-2021.07.13-000381","53244958178","42899114","0","0",,,"NOTHING"
"metricbeat-7.10.2-2021.07.28-000064","53713355794","90346002","0","0",,,"NOTHING"
"inspire_audit_log_prod-ilm-2021.08.04-000039","839982417","1718316","0","0",,,"NOTHING"
"shrink-hemj-winlogbeat-7.13.1-2021.08.14-000217","64694355780","41953275","0","0",,,"NOTHING"
"shrink-logstash-telecom-checkpoint-syslog-ilm-2021.07.15-000384","53303261880","40312116","0","0",,,"NOTHING"
".apm-custom-link","522","0","0","0",,,"NOTHING"
"shrink-logstash-telecom-checkpoint-syslog-ilm-2021.07.15-000385","53188124253","40311913","0","0",,,"NOTHING"
"shrink--zyk-logstash-telecom-cisco_asr-syslog-ilm-2021.08.03-000039","38345512","79208","0","0",,,"NOTHING"
"shrink-metricbeat-linux-2021.04.01-000033","416","0","0","0",,,"NOTHING"
"shrink-logstash-telecom-netscaler-syslog-ilm-2021.07.14-000101","54845902601","82900273","0","0",,,"NOTHING"
"shrink-ffym-winlogbeat-7.13.1-2021.08.23-000244","65236220020","42445223","0","0",,,"NOTHING"
"shrink-magento-aws-customer_log-prod-ilm-2021.06.09-000031","595080310","648848","648848","0",,,"NOTHING"
"shrink-logstash-telecom-firepower-syslog-ilm-2021.07.16-000112","53046314902","83353790","0","0",,,"NOTHING"
"logstash-telecom-snmptrap-else-ilm-2021.08.24-000039","2567437","3563","0","0",,,"NOTHING"
"shrink-logstash-telecom-firepower-syslog-ilm-2021.07.10-000106","52793998099","82282244","24022943","14.3550518699137","15413619578.4158","DELETE_DOCS","NOTHING"
"shrink-magento-aws-non_parse-ilm-2021.06.23-000033","52757744","68184","68184","0",,,"NOTHING"
"logstash-telecom-pulsesecure-syslog-ilm-2021.09.06-000050","1434722","698","0","0",,,"NOTHING"
".kibana-event-log-7.13.4-000002","505842031","2601168","0","0",,,"NOTHING"
".kibana-event-log-7.13.4-000001","1069661108","5728030","0","0",,,"NOTHING"
"logstash-telecom-snmptrap-cacti-ilm-2021.07.06-000032","35473646","112752","80999","0.0237334766196062","25483626.4753973","DELETE_DOCS","NOTHING"
"shrink-vfpt-logstash-telecom-checkpoint-syslog-ilm-2021.08.09-000423","53634505156","40555526","0","0",,,"NOTHING"
"shrink-vwj_-logstash-telecom-nontraite-ilm-2021.08.09-000011","77555640","154463","2","9.3523132815951E-07","1004.19699215993","DELETE_DOCS","NOTHING"
"shrink-mixo-logstash-telecom-firepower-syslog-ilm-2021.07.30-000127","53023265294","82319219","0","0",,,"NOTHING"
"shrink-nc_h-logstash-telecom-cisco_asr-syslog-ilm-2021.08.10-000040","45663106","94599","0","0",,,"NOTHING"
"metricbeat-7.13.4-2021.08.17-000005","54250653910","67780155","0","0",,,"NOTHING"
"logstash-telecom-snmptrap-else-ilm-2021.07.13-000033","416","0","0","0",,,"NOTHING"
"shrink-inspire_log_prod-ilm-2021.06.30-000034","5306950560","7985900","7985900","0",,,"NOTHING"
"shrink-lp3x-winlogbeat-7.13.1-2021.09.06-000287","65201443109","44088072","0","0",,,"NOTHING"
"metricbeat-7.8.0-2021.08.13-000030","416","0","0","0",,,"NOTHING"
"logstash-telecom-snmptrap-prime-ilm-2021.07.16-000033","2123169","10089","0","0",,,"NOTHING"
".kibana-event-log-7.8.0-000012","416","0","0","0",,,"NOTHING"
".kibana-event-log-7.8.0-000013","416","0","0","0",,,"NOTHING"
"shrink-logstash-telecom-netscaler-syslog-ilm-2021.07.25-000108","54745483478","82593522","0","0",,,"NOTHING"
"shrink-prc_audit_log_prod-ilm-2021.06.30-000034","1989736686","2716443","2716443","0",,,"NOTHING"
"shrink-49dt-logstash-telecom-dhcp-logs-ilm-2021.08.31-000043","374840281","812072","0","0",,,"NOTHING"
"shrink-ucao-logstash-telecom-firepower-syslog-ilm-2021.08.02-000130","53275774800","83064317","0","0",,,"NOTHING"
"inspire_audit_log_prod-ilm-2021.09.08-000044","46737763","88230","0","0",,,"NOTHING"
"filebeat-7.10.0","16903695662","37060758","0","15.7427933644503","16903695662","DELETE_INDEX","NOTHING"
".transform-notifications-000002","81677","29","0","0",,,"NOTHING"
"shrink-isad-logstash-telecom-cisco_acs-syslog-ilm-2021.08.10-000040","24568959","46837","0","0",,,"NOTHING"
".kibana-event-log-7.8.0-000014","416","0","0","0",,,"NOTHING"
".kibana-event-log-7.8.0-000015","416","0","0","0",,,"NOTHING"
"shrink-td1f-winlogbeat-7.13.1-2021.08.11-000205","65734548236","41703871","0","0",,,"NOTHING"
"shrink-fvxz-winlogbeat-7.13.1-2021.09.02-000275","65442306232","42964965","0","0",,,"NOTHING"
"filebeat-7.10.2-2021.07.28-000020","8268128627","16189695","0","0",,,"NOTHING"
"shrink-tdda-logstash-telecom-firepower-syslog-ilm-2021.07.29-000126","53245446555","82501814","0","0",,,"NOTHING"
"shrink-logstash-telecom-cisco_asr-syslog-ilm-2021.07.13-000036","38784909","90610","0","0",,,"NOTHING"
"shrink-abc_audit_log_prod-ilm-2021.06.30-000034","1271056484","1592953","1592953","0",,,"NOTHING"
"metrics-endpoint.metadata_current_default","522","0","0","0",,,"NOTHING"
"filebeat-7.10.2-2021.06.18-000017","16179598123","39901432","9456944","3.57133175585121","3834688273.6368","DELETE_DOCS","NOTHING"
"filebeat-7.12.1-2021.06.17-000007","104232014","184279","184279","0",,,"NOTHING"
"shrink-logstash-telecom-checkpoint-syslog-ilm-2021.07.24-000398","53259736784","40829926","0","0",,,"NOTHING"
"filebeat-7.12.1-2021.06.17-000008","43308895034","80425246","80425243","40.3345501222682","43308893418.5037","DELETE_DOCS","NOTHING"
"logstash-telecom-snmptrap-cacti-ilm-2021.08.17-000038","26966179","93923","0","0",,,"NOTHING"
"shrink-abc_audit_log_prod-ilm-2021.07.07-000035","1201839826","1501108","988250","0.736888204868461","791227685.179547","DELETE_DOCS","NOTHING"
"shrink-g5ob-logstash-telecom-firepower-syslog-ilm-2021.07.28-000125","53117197699","82309527","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.08.31","452221","1771","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.08.30","367972","1378","0","0",,,"NOTHING"
"metricbeat-7.13.4-2021.08.07-000003","54216248458","67892943","0","0",,,"NOTHING"
