"index","total_size","total_docs","doc_toDelete","sizesaving","sizesavingNonConvert","action_needed","action_took"
"filebeat-7.7.0-2021.05.01","19631148","10196","0","0",,,"DELETED_INDEX"
"inspire_audit_log_prod-2021.04.27","1194300","288","0","0",,,"DELETED_INDEX"
"inspire_audit_log_prod-2021.04.29","1014217","243","0","0",,,"DELETED_INDEX"
"magento_integration_0553-2021.05.28","14942041","24399","0","0",,,"DELETED_INDEX"
"magento_integration_0553-2021.05.27","11992609","19863","0","0",,,"DELETED_INDEX"
"magento_integration_0553-2021.05.29","9511726","17285","0","0",,,"DELETED_INDEX"
"magento_integration_0553-2021.05.24","9760742","17481","0","0",,,"DELETED_INDEX"
"magento_integration_0553-2021.05.23","10108953","17804","0","0",,,"DELETED_INDEX"
"magento_integration_0553-2021.05.26","17119117","29321","0","0",,,"DELETED_INDEX"
"magento_integration_0553-2021.05.25","17388077","28557","0","0",,,"DELETED_INDEX"
"filebeat-6.2.2-2021.03.25","847710","1489","0","0.000789491459727287","847710","DELETE_INDEX","DELETED_INDEX"
"magento_integration_0553-2021.05.31","13209714","21637","0","0",,,"DELETED_INDEX"
"magento_integration_0553-2021.05.30","9564150","17280","0","0",,,"DELETED_INDEX"
"filebeat-6.2.2-2021.03.24","805222","1659","0","0.000749921426177025","805222","DELETE_INDEX","DELETED_INDEX"
"filebeat-6.2.2-2021.03.23","730613","1492","0","0.000680436380207539","730613","DELETE_INDEX","DELETED_INDEX"
"filebeat-6.2.2-2021.03.22","756101","1544","0","0.000704173929989338","756101","DELETE_INDEX","DELETED_INDEX"
"filebeat-6.2.2-2021.03.21","710193","1496","0","0.000661418773233891","710193","DELETE_INDEX","DELETED_INDEX"
"filebeat-6.2.2-2021.03.20","755660","1558","0","0.000703763216733932","755660","DELETE_INDEX","DELETED_INDEX"
"inspire_audit_log_prod-2021.04.13","994454","33","0","0",,,"DELETED_INDEX"
"inspire_audit_log_prod-2021.04.12","719491","53","0","0",,,"DELETED_INDEX"
"inspire_audit_log_prod-2021.04.15","384657","10","0","0",,,"DELETED_INDEX"
"inspire_audit_log_prod-2021.04.14","83585","3","0","0",,,"DELETED_INDEX"
"filebeat-6.2.2-2021.03.29","764192","1580","0","0.000711709260940552","764192","DELETE_INDEX","DELETED_INDEX"
"filebeat-6.2.2-2021.03.28","763861","1564","0","0.000711400993168354","763861","DELETE_INDEX","DELETED_INDEX"
"filebeat-6.2.2-2021.03.27","712030","1522","0","0.000663129612803459","712030","DELETE_INDEX","DELETED_INDEX"
"filebeat-6.2.2-2021.03.26","758777","1561","0","0.000706666149199009","758777","DELETE_INDEX","DELETED_INDEX"
"metricbeat-7.9.0-2021.06.01-000022","416","0","0","0",,,"DELETED_INDEX"
"inspire_audit_log_prod-2021.04.16","74189","2","0","0",,,"DELETED_INDEX"
"winlogbeat-6.6.1-2021.03.31","2128467285","2379876","0","1.98228963185102","2128467285","DELETE_INDEX","DELETED_INDEX"
"inspire_audit_log_prod-2021.04.19","828484","31","0","0",,,"DELETED_INDEX"
"winlogbeat-6.6.1-2021.03.30","1918456877","1928979","0","1.78670219797641","1918456877","DELETE_INDEX","DELETED_INDEX"
".kibana-event-log-7.10.2-000004","32212567","206353","0","0",,,"DELETED_INDEX"
".kibana-event-log-7.10.2-000005","106337635","647477","0","0",,,"DELETED_INDEX"
".kibana-event-log-7.10.2-000006","416","0","0","0",,,"DELETED_INDEX"
".kibana-event-log-7.10.2-000003","115332","17","0","0",,,"DELETED_INDEX"
