"index","total_size","total_docs","doc_toDelete","sizesaving","sizesavingNonConvert","action_needed","action_took"
"log_inconnu-2021.06.14","53927413644","41567284","41567284","0",,,""
"log_inconnu-2021.06.15","52177478902","41675197","41675197","0",,,""
"log_inconnu-2021.06.12","51423969864","40533598","40533598","0",,,""
"log_inconnu-2021.06.13","51076762308","40089869","40089869","0",,,""
"metricbeat-7.9.0-2021.06.15-000024","416","0","0","0",,,""
"shrink-lz7p-auditbeat-7.13.4-2021.08.19-000005","9508861797","9670938","0","0",,,""
"metricbeat-7.13.2-2021.07.10-000008","107495260514","155944018","96685484","62.0700367233365","66647194447.0623","DELETE_DOCS","NOTHING"
".monitoring-alerts-7","5892364","34379","0","0",,,""
"logstash-telecom-dhcp-logs-ilm-2021.08.24-000006","416","0","0","0",,,""
"auditbeat-7.13.2-2021.08.03-000008","7137150363","5614132","0","0",,,""
".kibana-event-log-7.10.0-000008","416","0","0","0",,,""
"heartbeat-7.10.0-2021.09.03-000009","416","0","0","0",,,""
".kibana-event-log-7.10.0-000009","416","0","0","0",,,""
"filebeat-7.4.0-2021.06.15-000008","416","0","0","0",,,""
".kibana-event-log-7.10.0-000007","416","0","0","0",,,""
"metricbeat-7.13.2-2021.07.21-000013","107648495806","154321900","0","0",,,""
".ml-anomalies-custom-windows_anomalous_process_all_hosts_ecs","39918","3","0","0",,,""
"auditbeat-7.10.0-2021.08.26-000022","416","0","0","0",,,""
"filebeat-7.3.2-2021.07.14-000035","416","0","0","0",,,""
"filebeat-7.7.0-2021.09.02-000029","416","0","0","0",,,""
"metricbeat-7.10.1-2021.06.17-000022","416","0","0","0",,,""
"shrink-mmw4-abc_audit_log_prod-2021.07.13-000036","416","0","0","0",,,""
".reporting-2020.07.12","41204","1","0","0",,,""
"nontraite-syslog-2021.08.28","2531286","3454","0","0",,,""
"nontraite-syslog-2021.08.29","2452497","3288","0","0",,,""
"nontraite-syslog-2021.08.24","14358876","26277","0","0",,,""
"metricbeat-7.9.0-2021.06.22-000025","416","0","0","0",,,""
"nontraite-syslog-2021.08.25","3465740","5144","0","0",,,""
"nontraite-syslog-2021.08.26","2352279","2810","0","0",,,""
"heartbeat-7.9.3-2021.03.23-000006","416","0","0","0",,,""
"nontraite-syslog-2021.08.27","2353135","2988","0","0",,,""
"nontraite-syslog-2021.08.20","2990257","4534","0","0",,,""
"nontraite-syslog-2021.08.21","5709089","9269","0","0",,,""
"nontraite-syslog-2021.08.22","4439303","7207","0","0",,,""
"nontraite-syslog-2021.08.23","3284028","4877","0","0",,,""
"filebeat-7.8.0-2021.05.28-000031","416","0","0","0",,,""
"nontraite-syslog-2021.08.30","3101597","4232","0","0",,,""
"auditbeat-7.12.0-2021.07.19-000013","2968286622","2448533","0","0",,,""
".reporting-2019.06.23","23506","1","0","0",,,""
"heartbeat-7.9.3-2021.02.21-000005","416","0","0","0",,,""
"nontraite-syslog-2021.08.31","2756957","3473","0","0",,,""
"metricbeat-7.13.2-2021.06.29-000003","107468232650","155043582","155043582","0",,,""
"api_gtwy","833648738","358615","0","0",,"no_timestamp",""
"shrink-pmrh-inspire_audit_log_prod-2021.07.23-000038","416","0","0","0",,,""
"auditbeat-7.12.0-2021.06.28-000010","9202265232","6844982","6844982","0",,,""
"metricbeat-7.8.0-2021.05.29-000025","416","0","0","0",,,""
"auditbeat-7.10.0-2021.05.20-000008","416","0","0","0",,,""
"shrink-z8_k-filebeat-7.0.1-2021.07.14-000035","416","0","0","0",,,""
"auditbeat-7.12.0-2021.07.26-000014","3329895847","2759355","0","0",,,""
".ml-anomalies-custom-windows_anomalous_script","566","0","0","0",,,""
"metricbeat-7.8.0-2021.06.12-000027","416","0","0","0",,,""
"winlogbeat-7.10.2-2021.09.09-000034","416","0","0","0",,,""
"auditbeat-7.12.1-2021.06.17-000005","2883632449","2410688","2410688","0",,,""
"filebeat-7.5.1-000002","416","0","0","0",,,""
"filebeat-7.5.1-000001","416","0","0","0",,,""
"filebeat-7.5.1-000003","416","0","0","0",,,""
"metricbeat-7.13.2-2021.07.27-000016","107475655567","154051843","0","0",,,""
".async-search","535074","0","0","0",,,""
"metricbeat-7.13.2-2021.07.16-000011","107643592628","155204546","0","0",,,""
".siem-signals-default-000001","416","0","0","0",,,""
".siem-signals-default-000002","416","0","0","0",,,""
".siem-signals-default-000003","416","0","0","0",,,""
".siem-signals-default-000004","416","0","0","0",,,""
"filebeat-pdv-2021.08.20-000005","605685928","1429191","0","0",,,""
".siem-signals-default-000005","416","0","0","0",,,""
"filebeat-7.3.2-2021.08.11-000039","416","0","0","0",,,""
".siem-signals-default-000006","416","0","0","0",,,""
".siem-signals-default-000007","416","0","0","0",,,""
".siem-signals-default-000008","416","0","0","0",,,""
".siem-signals-default-000009","416","0","0","0",,,""
"filebeat-7.3.1-2021.07.14-000035","416","0","0","0",,,""
"auditbeat-7.10.0-2021.05.13-000007","416","0","0","0",,,""
"metricbeat-7.10.1-2021.08.16-000024","416","0","0","0",,,""
".monitoring-kibana-7-mb-2021.09.09","2412914","2258","0","0",,,""
"metricbeat-7.10.0-2021.08.16-000025","416","0","0","0",,,""
".monitoring-kibana-7-mb-2021.09.08","1828166","2880","0","0",,,""
"%{[@metadata][beat]}-%{[@metadata][version]}-2021.08.25","112771","110","0","0",,,""
".monitoring-kibana-7-mb-2021.09.03","1781944","2880","0","0",,,""
".monitoring-kibana-7-mb-2021.09.07","1769866","2880","0","0",,,""
".monitoring-kibana-7-mb-2021.09.06","1864579","2880","0","0",,,""
".monitoring-kibana-7-mb-2021.09.05","1979754","2880","0","0",,,""
".monitoring-kibana-7-mb-2021.09.04","1953066","2880","0","0",,,""
"shrink-6zyr-inspire_log_prod-2021.06.19-000033","416","0","0","0",,,""
"ilm-history-3-000007","416","0","0","0",,"no_timestamp",""
"auditbeat-7.12.1-2021.07.08-000008","2244711924","1935524","977622","1.05592518643566","1133791035.69097","DELETE_DOCS","NOTHING"
"shrink-ahpl-auditbeat-7.13.4-2021.08.05-000003","9272439926","9466605","0","0",,,""
"auditbeat-7.13.2-2021.07.06-000004","7724713742","6010838","4223491","5.05497572527532","5427738855.53284","DELETE_DOCS","NOTHING"
"auditbeat-7.12.0-2021.05.10-000003","416","0","0","0",,,""
"filebeat-7.8.0-2021.06.04-000032","416","0","0","0",,,""
"heartbeat-7.9.3-2021.06.21-000009","416","0","0","0",,,""
"metricbeat-7.10.2-2021.07.25-000048","23782720052","33800313","0","0",,,""
".reporting-2020.10.04","4097436","3","0","0",,,""
"nontraite-syslog-2021.08.06","4093872","5817","0","0",,,""
"nontraite-syslog-2021.08.07","3317635","5039","0","0",,,""
"nontraite-syslog-2021.08.08","3610612","5446","0","0",,,""
"nontraite-syslog-2021.08.09","4023759","5675","0","0",,,""
"nontraite-syslog-2021.08.02","3967849","5928","0","0",,,""
"nontraite-syslog-2021.08.03","4287968","6028","0","0",,,""
"nontraite-syslog-2021.08.04","5704742","9256","0","0",,,""
"shrink-b-wa-inspire_log_prod-2021.07.10-000036","416","0","0","0",,,""
"nontraite-syslog-2021.08.05","4292272","6208","0","0",,,""
"winlogbeat-7.10.2-2021.08.26-000032","416","0","0","0",,,""
"nontraite-syslog-2021.08.01","3662730","5511","0","0",,,""
"%{[@metadata][beat]}-%{[@metadata][version]}-2021.08.03","116114","108","0","0",,,""
"heartbeat-7.5.2-2021.04.17-000007","416","0","0","0",,,""
".reporting-2020.09.20","31838","1","0","0",,,""
".kibana_task_manager_7.13.1_001","6015536","37","0","0",,,""
"shrink-3eu6-filebeat-7.0.1-2021.09.01-000042","416","0","0","0",,,""
"nontraite-syslog-2021.08.17","16910422","30832","0","0",,,""
"nontraite-syslog-2021.08.18","5336870","8396","0","0",,,""
".reporting-2020.09.06","672734","1","0","0",,,""
"metricbeat-7.10.2-2021.06.16-000042","64345356211","107996434","107996434","0",,,""
"nontraite-syslog-2021.08.19","3270972","4408","0","0",,,""
"nontraite-syslog-2021.08.13","4317382","6157","0","0",,,""
"nontraite-syslog-2021.08.14","5447218","8635","0","0",,,""
"nontraite-syslog-2021.08.15","4415144","6851","0","0",,,""
"nontraite-syslog-2021.08.16","4793882","7018","0","0",,,""
"auditbeat-7.12.0-2021.06.21-000009","9948439836","7409054","7409054","0",,,""
"nontraite-syslog-2021.08.10","8004300","13562","0","0",,,""
"nontraite-syslog-2021.08.11","4123872","5535","0","0",,,""
"nontraite-syslog-2021.08.12","4397934","6141","0","0",,,""
"metricbeat-7.13.2-2021.09.09-000038","32816971823","45325624","0","0",,,""
"filebeat-7.3.2-2021.07.07-000034","416","0","0","0",,,""
"winlogbeat-7.10.1-2021.09.09-000035","1248","0","0","0",,,""
"dhcp-logs-2021.08.24","95071322","168447","0","0",,,""
"dhcp-logs-2021.08.23","95488232","168902","0","0",,,""
